count,Sample,Brand,Parent company,Pb ppm
1,1a,Cover Girl,Procter & Gamble,3.06
2,1b,Cover Girl,Procter & Gamble,3.05
3,2,Revlon,Revlon,2.38
4,3,Cover Girl,Procter & Gamble,2.24
5,4,Body Shop,L'Oreal,1.79
6,5,Cover Girl,Procter & Gamble,1.76
7,6,L'Oreal,L'Oreal,1.47
8,7,Revlon,Revlon,1.37
9,8,Maybelline,L'Oreal,1.21
10,9,Revlon,Revlon,1.04
11,10a,L'Oreal,L'Oreal,0.79
12,10b,L'Oreal,L'Oreal,0.67
13,11,Clinique,Estee Lauder,0.55
14,12,Clinique,Estee Lauder,0.48
15,13,Estee Lauder,Estee Lauder,0.43
16,14,Burt's Bees,Clorox Company,0.33
17,15,Maybelline,L'Oreal,0.23
18,16,PeaceKeeper,PeaceKeeper,0.17
19,17,Dior,LVMH,0.15
20,18,Dior,LVMH,0.12
21,19,M.A.C,Estee Lauder,0.1
22,20,Avon,Avon,0.09
