Sample #,Brand,Parent company,Lead (ppm)
1,Maybelline,L'Oreal USA,7.19
2,L'Oreal,L'Oreal USA,7
3,NARS,Shiseido,4.93
4,Cover Girl Queen,Procter & Gamble,4.92
5,NARS,Shiseido,4.89
6,L'Oreal,L'Oreal USA,4.45
7,L'Oreal,L'Oreal USA,4.41
8,Cover Girl,Procter & Gamble,4.28
9,Maybelline,L'Oreal USA,4.23
10,Stargazer,Stargazer,4.12
11,Stargazer,Stargazer,4.06
12,Revlon,Revlon,3.32
13,Sonia Kashuk,Target Corporation,3.12
14,Avon,Avon,3.08
15,L'Oreal,L'Oreal USA,2.87
16,Revlon,Revlon,2.84
17,Burt's Bees,Clorox Company,2.81
18,Revlon,Revlon,2.81
19,Sonia Kashuk,Target Corporation,2.8
20,Revlon,Revlon,2.77
21,Cover Girl,Procter & Gamble,2.74
22,Stargazer,Stargazer,2.71
23,Fashion Fair,Johnson Publishing Company,2.68
24,Avon,Avon,2.59
25,Cover Girl,Procter & Gamble,2.56
26,Cover Girl,Procter & Gamble,2.52
27,Revlon,Revlon,2.52
28,Revlon,Revlon,2.44
29,Cover Girl,Procter & Gamble,2.42
30,Revlon,Revlon,2.4
31,Cover Girl,Procter & Gamble,2.28
32,Lancome,L'Oreal USA,2.28
33,M.A.C,Estee Lauder,2.28
34,Cover Girl Queen Collection,Procter & Gamble,2.27
35,Stargazer,Stargazer,2.27
36,Cover Girl,Procter & Gamble,2.26
37,Revlon,Revlon,2.25
38,Burt's Bees,Clorox Company,2.24
39,Revlon,Revlon,2.24
40,Avon,Avon,2.23
41,Cover Girl Queen Collection,Procter & Gamble,2.22
42,Almay,Revlon,2.21
43,Fashion Fair,Johnson Publishing Company,2.18
44,Revlon,Revlon,2.12
45,Mary Kay,Mary Kay,2.09
46,Jafra,Jafra Cosmetics International,2.08
47,M.A.C,Estee Lauder,2.08
48,Estee Lauder Prescriptives,Estee Lauder,2.07
49,Cover Girl,Procter & Gamble,2
50,Cover Girl,Procter & Gamble,2
51,L'Oreal,L'Oreal USA,2
52,Rimmel London,Coty,1.98
53,Stargazer,Stargazer,1.98
54,Mary Kay,Mary Kay,1.96
55,Avon,Avon,1.95
56,Cover Girl,Procter & Gamble,1.94
57,Maybelline,L'Oreal USA,1.94
58,Cover Girl Queen Collection,Procter & Gamble,1.93
59,Cover Girl,Procter & Gamble,1.92
60,Revlon,Revlon,1.91
61,Clarins,Clarins USA,1.88
62,Revlon,Revlon,1.88
63,Rimmel London,Coty,1.88
64,BeneFit,LVMH Perfums & Cosmetics,1.86
65,Revlon,Revlon,1.85
66,NARS,Shiseido,1.84
67,Revlon,Revlon,1.84
68,Almay,Revlon,1.82
69,Mary Kay,Mary Kay,1.82
70,Revlon,Revlon,1.81
71,L'Oreal,L'Oreal USA,1.8
72,Revlon,Revlon,1.8
73,Estee Lauder,Estee Lauder,1.78
74,Maybelline,L'Oreal USA,1.78
75,Cover Girl,Procter & Gamble,1.76
76,Elizabeth Arden,Elizabeth Arden,1.76
77,Revlon,Revlon,1.75
78,Revlon,Revlon,1.75
79,Jafra,Jafra Cosmetics International,1.74
80,Avon,Avon,1.73
81,L'Oreal,L'Oreal USA,1.72
82,Maybelline,L'Oreal USA,1.71
83,Revlon,Revlon,1.7
84,Almay,Revlon,1.69
85,Gabriel,Gabriel Cosmetics,1.69
86,Gabriel,Gabriel Cosmetics,1.69
87,L'Oreal,L'Oreal USA,1.69
88,L'Oreal,L'Oreal USA,1.69
89,NARS,Shiseido,1.69
90,L'Oreal,L'Oreal USA,1.63
91,Maybelline,L'Oreal USA,1.61
92,Revlon,Revlon,1.61
93,M.A.C,Estee Lauder,1.57
94,Stargazer,Stargazer,1.57
95,Dior,LVMH Perfums & Cosmetics,1.56
96,Revlon,Revlon,1.55
97,Revlon,Revlon,1.54
98,BeneFit,LVMH Perfums & Cosmetics,1.53
99,Stargazer,Stargazer,1.53
100,Estee Lauder Prescriptives,Estee Lauder,1.5
101,M.A.C,Estee Lauder,1.49
102,Mary Kay,Mary Kay,1.49
103,Maybelline,L'Oreal USA,1.48
104,Maybelline,L'Oreal USA,1.47
105,Maybelline,L'Oreal USA,1.46
106,Revlon,Revlon,1.46
107,Avon,Avon,1.45
108,L'Oreal,L'Oreal USA,1.45
109,L'Oreal,L'Oreal USA,1.44
110,Maybelline,L'Oreal USA,1.41
111,Almay,Revlon,1.4
112,Avon,Avon,1.39
113,Mary Kay,Mary Kay,1.39
114,Colorganics,Colorganics,1.38
115,L'Oreal,L'Oreal USA,1.38
116,Stargazer,Stargazer,1.38
117,Estee Lauder,Estee Lauder,1.37
118,Maybelline,L'Oreal USA,1.37
119,Colorganics,Colorganics,1.36
120,Estee Lauder,Estee Lauder,1.35
121,Almay,Revlon,1.34
122,Lancome,L'Oreal USA,1.34
123,M.A.C,Estee Lauder,1.34
124,Clinique,Estee Lauder,1.33
125,Estee Lauder,Estee Lauder,1.32
126,Revlon,Revlon,1.32
127,Estee Lauder Origins,Estee Lauder,1.31
128,Lancome,L'Oreal USA,1.31
129,Mary Kay,Mary Kay,1.3
130,Revlon,Revlon,1.28
131,Elizabeth Arden,Elizabeth Arden,1.27
132,Almay,Revlon,1.26
133,Mary Kay,Mary Kay,1.26
134,Clinique,Estee Lauder,1.24
135,Clinique,Estee Lauder,1.24
136,Victoria's Secret,Limited Brands,1.23
137,Almay,Revlon,1.22
138,L'Oreal,L'Oreal USA,1.21
139,Chanel,Chanel,1.2
140,Lancome,L'Oreal USA,1.2
141,Victoria's Secret,Limited Brands,1.19
142,Clinique,Estee Lauder,1.18
143,Lancome,L'Oreal USA,1.18
144,Revlon,Revlon,1.18
145,Victoria's Secret,Limited Brands,1.18
146,Fashion Fair,Johnson Publishing Company,1.17
147,Iman Cosmetics,Iman Cosmetics,1.17
148,Clinique,Estee Lauder,1.15
149,Mary Kay,Mary Kay,1.15
150,Victoria's Secret,Limited Brands,1.15
151,Clinique,Estee Lauder,1.13
152,Lancome,L'Oreal USA,1.13
153,Almay,Revlon,1.12
154,Lancome,L'Oreal USA,1.11
155,Chanel,Chanel,1.1
156,Stargazer,Stargazer,1.1
157,Clarins,Clarins USA,1.08
158,L'Oreal,L'Oreal USA,1.08
159,M.A.C,Estee Lauder,1.08
160,Avon,Avon,1.07
161,Clinique,Estee Lauder,1.07
162,Lancome,L'Oreal USA,1.07
163,Revlon,Revlon,1.06
164,Chanel,Chanel,1.05
165,Estee Lauder Prescriptives,Estee Lauder,1.04
166,L'Oreal,L'Oreal USA,1.04
167,Revlon,Revlon,1.04
168,M.A.C,Estee Lauder,1.03
169,Maybelline,L'Oreal USA,1.03
170,Stargazer,Stargazer,1.03
171,BeneFit,LVMH Perfums & Cosmetics,1.02
172,Iman Cosmetics,Iman Cosmetics,1.02
173,Mary Kay,Mary Kay,1.02
174,Estee Lauder,Estee Lauder,1.01
175,Clinique,Estee Lauder,1
176,Lancome,L'Oreal USA,1
177,M.A.C,Estee Lauder,1
178,Mary Kay,Mary Kay,0.97
179,Estee Lauder,Estee Lauder,0.96
180,Lancome,L'Oreal USA,0.96
181,Bobbi Brown,Estee Lauder,0.95
182,Clinique,Estee Lauder,0.95
183,M.A.C,Estee Lauder,0.95
184,NARS,Shiseido,0.95
185,Revlon,Revlon,0.95
186,Stargazer,Stargazer,0.95
187,Estee Lauder,Estee Lauder,0.94
188,Avon,Avon,0.93
189,Maybelline,L'Oreal USA,0.93
190,Rimmel London,Coty,0.93
191,M.A.C,Estee Lauder,0.92
192,Mary Kay,Mary Kay,0.92
193,Stargazer,Stargazer,0.92
194,Clinique,Estee Lauder,0.91
195,Lancome,L'Oreal USA,0.91
196,Mary Kay,Mary Kay,0.91
197,Maybelline,L'Oreal USA,0.91
198,Elizabeth Arden,Elizabeth Arden,0.9
199,Maybelline,L'Oreal USA,0.9
200,Estee Lauder,Estee Lauder,0.89
201,Maybelline,L'Oreal USA,0.89
202,Chanel,Chanel,0.88
203,Estee Lauder,Estee Lauder,0.88
204,Clinique,Estee Lauder,0.86
205,Elizabeth Arden,Elizabeth Arden,0.86
206,L'Oreal,L'Oreal USA,0.86
207,Mary Kay,Mary Kay,0.86
208,Clarins,Clarins USA,0.85
209,Chanel,Chanel,0.84
210,Clinique,Estee Lauder,0.84
211,Estee Lauder,Estee Lauder,0.84
212,Estee Lauder,Estee Lauder,0.83
213,Mary Kay,Mary Kay,0.83
214,Clinique,Estee Lauder,0.82
215,Dior,LVMH Perfums & Cosmetics,0.82
216,L'Oreal,L'Oreal USA,0.82
217,L'Oreal,L'Oreal USA,0.82
218,Clinique,Estee Lauder,0.81
219,Stargazer,Stargazer,0.81
220,Estee Lauder,Estee Lauder,0.8
221,Estee Lauder,Estee Lauder,0.8
222,Iman Cosmetics,Iman Cosmetics,0.8
223,Mary Kay,Mary Kay,0.8
224,Lancome,L'Oreal USA,0.79
225,Bobbi Brown,Estee Lauder,0.78
226,Estee Lauder,Estee Lauder,0.78
227,Estee Lauder Origins,Estee Lauder,0.78
228,Estee Lauder,Estee Lauder,0.77
229,Burt's Bees,Clorox Company,0.76
230,L'Oreal,L'Oreal USA,0.76
231,Maybelline,L'Oreal USA,0.76
232,Cover Girl Queen Collection,Procter & Gamble,0.75
233,Estee Lauder,Estee Lauder,0.75
234,Mary Kay,Mary Kay,0.75
235,Clinique,Estee Lauder,0.74
236,Estee Lauder,Estee Lauder,0.74
237,M.A.C,Estee Lauder,0.74
238,Mary Kay,Mary Kay,0.74
239,Lancome,L'Oreal USA,0.73
240,L'Oreal,L'Oreal USA,0.73
241,Mary Kay,Mary Kay,0.72
242,Stargazer,Stargazer,0.72
243,Chanel,Chanel,0.7
244,Mary Kay,Mary Kay,0.7
245,Rimmel London,Coty,0.7
246,Lancome,L'Oreal USA,0.69
247,Lancome,L'Oreal USA,0.69
248,L'Oreal,L'Oreal USA,0.69
249,M.A.C,Estee Lauder,0.69
250,Elizabeth Arden,Elizabeth Arden,0.68
251,Revlon,Revlon,0.68
252,Estee Lauder,Estee Lauder,0.67
253,L'Oreal,L'Oreal USA,0.66
254,Victoria's Secret,Limited Brands,0.66
255,Rimmel London,Coty,0.64
256,Mary Kay,Mary Kay,0.63
257,Revlon,Revlon,0.63
258,M.A.C,Estee Lauder,0.62
259,M.A.C,Estee Lauder,0.62
260,Mary Kay,Mary Kay,0.61
261,Stargazer,Stargazer,0.61
262,Estee Lauder,Estee Lauder,0.6
263,M.A.C,Estee Lauder,0.6
264,Mary Kay,Mary Kay,0.6
265,Mary Kay,Mary Kay,0.6
266,Chanel,Chanel,0.59
267,Chanel,Chanel,0.59
268,Maybelline,L'Oreal USA,0.59
269,Avon,Avon,0.58
270,Avon,Avon,0.58
271,Chanel,Chanel,0.58
