#Solid Waste Disposed in 1998 by Wasteshed
#State of Oregon
#Wasteshed,Population (people),Disposed (tons),Per capita (tons/person)
Wasteshed,Population,Disposed,Per-capita
Wheeler,1600,359, 0.224 
Sherman,1900,1092, 0.575 
Gilliam,2100,1320, 0.629 
Milton-Freewater,7600,1794, 0.236 
Wallowa,8000,3174, 0.397 
Lake,7200,4526, 0.629 
Harney,6500,5586, 0.859 
Grant,9400,5893, 0.627 
Jefferson,7400,6361, 0.860 
Morrow,8709,8709, 1.000 
Crook,22000,12264, 0.557 
Baker,16700,12376, 0.741 
Hood River,16650,14232, 0.855 
Curry,19500,14931, 0.766 
Wasco,24000,15063, 0.628 
Tillamook,24400,15610, 0.640 
Union,22600,17997, 0.796 
Malheur,29200,20052, 0.687 
Clatsop,42300,23004, 0.544 
Columbia,34700,30716, 0.885 
Lincoln,58940,36790, 0.624 
Polk,61400,37434, 0.610 
Umatilla,73000,40518, 0.555 
Coos,43200,41127, 0.952 
Klamath,71860,45551, 0.634 
Benton,60600,52484, 0.866 
Josephine,62000,62603, 1.010 
Yamhill,82460,68901, 0.836 
Douglas,107090,75807, 0.708 
Deschutes,100300,86369, 0.861 
Linn,104900,101313, 0.966 
Jackson,172800,136337, 0.789 
Marion,271750,237166, 0.873 
Lane,313000,261958, 0.837 
Metro,1363100,1196486, 0.878 
